,name,url,country,revision_id,article_quality
119,Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,949182924,Start
120,Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,994501003,Stub
121,Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,1091800566,Start
122,Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,1094050369,Start
123,Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,1110580984,C
124,Dervish Biçaku,https://en.wikipedia.org/wiki/Dervish_Biçaku,Albania,1106794267,Stub
125,Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,1107876476,C
126,Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,1098235893,Start
127,Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,1067080697,C
128,Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,1087272778,Start
129,Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,1061419179,Start
130,Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,1095178618,Start
131,Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,1114418989,Start
132,Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,1087026828,Start
133,Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,1104589367,Stub
134,Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,1101365003,Start
135,Fuad Dibra,https://en.wikipedia.org/wiki/Fuad_Dibra,Albania,1079550815,Start
136,Isuf Dibra,https://en.wikipedia.org/wiki/Isuf_Dibra,Albania,1108975040,Start
137,Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,1112281152,C
138,Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,1114424802,Stub
139,Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,1067061654,Stub
140,Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,1101927317,C
141,Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,1092914547,GA
142,Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,1114425909,B
143,Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,1073827690,Start
144,Bajram Fevziu,https://en.wikipedia.org/wiki/Bajram_Fevziu,Albania,1089008480,Start
145,Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,1015553118,Stub
146,Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,1099714241,C
147,Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,1105835401,C
148,Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,1095879069,C
149,Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,1104696112,GA
150,Albulena Haxhiu,https://en.wikipedia.org/wiki/Albulena_Haxhiu,Albania,1095286065,Stub
151,High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,1107096289,C
152,Spiridon Kacarosi,https://en.wikipedia.org/wiki/Spiridon_Kacarosi,Albania,993288548,Stub
